time,bid,ask,last,volume,time_msc,flags,volume_real
1788343200,4308.73,4308.77,0.0,0,1788343200082,6,0.0
1788343200,4308.534,4308.574,0.0,0,1788343200303,6,0.0
1788343200,4308.481,4308.521,0.0,0,1788343200380,6,0.0
1788343200,4308.426,4308.466,0.0,0,1788343200405,6,0.0
1788343200,4308.73,4308.77,0.0,0,1788343200451,6,0.0
1788343201,4308.536,4308.576,0.0,0,1788343201108,6,0.0
1788343201,4308.481,4308.521,0.0,0,1788343201130,6,0.0
1788343201,4308.407,4308.447,0.0,0,1788343201134,6,0.0
1788343201,4308.255,4308.305,0.0,0,1788343201148,6,0.0
1788343201,4308.173,4308.223,0.0,0,1788343201168,6,0.0
1788343201,4308.224,4308.274,0.0,0,1788343201239,6,0.0
1788343201,4308.162,4308.212,0.0,0,1788343201268,6,0.0
1788343201,4308.233,4308.283,0.0,0,1788343201511,6,0.0
1788343202,4308.627,4308.677,0.0,0,1788343202369,6,0.0
1788343202,4308.681,4308.731,0.0,0,1788343202396,6,0.0
1788343203,4308.669,4308.719,0.0,0,1788343203346,6,0.0
1788343203,4308.295,4308.335,0.0,0,1788343203773,6,0.0
1788343204,4308.411,4308.451,0.0,0,1788343204108,6,0.0
1788343204,4308.467,4308.507,0.0,0,1788343204251,6,0.0
1788343204,4308.554,4308.594,0.0,0,1788343204692,6,0.0
1788343204,4308.831,4308.871,0.0,0,1788343204717,6,0.0
1788343205,4308.859,4308.909,0.0,0,1788343205882,6,0.0
1788343206,4308.619,4308.659,0.0,0,1788343206915,6,0.0
1788343208,4308.923,4308.963,0.0,0,1788343208845,6,0.0
1788343208,4308.982,4309.022,0.0,0,1788343208851,6,0.0
1788343208,4309.121,4309.171,0.0,0,1788343208867,6,0.0
1788343208,4309.172,4309.222,0.0,0,1788343208875,6,0.0
1788343208,4309.115,4309.165,0.0,0,1788343208910,6,0.0
1788343208,4309.053,4309.103,0.0,0,1788343208913,6,0.0
1788343208,4308.972,4309.022,0.0,0,1788343208926,6,0.0
1788343208,4308.781,4308.831,0.0,0,1788343208946,6,0.0
1788343208,4308.726,4308.776,0.0,0,1788343208966,6,0.0
1788343209,4308.673,4308.723,0.0,0,1788343209193,6,0.0
1788343209,4308.619,4308.669,0.0,0,1788343209378,6,0.0
1788343209,4308.559,4308.609,0.0,0,1788343209393,6,0.0
1788343209,4308.613,4308.663,0.0,0,1788343209592,6,0.0
1788343210,4308.618,4308.668,0.0,0,1788343210984,6,0.0
1788343211,4308.67,4308.72,0.0,0,1788343211003,6,0.0
1788343211,4308.722,4308.772,0.0,0,1788343211068,6,0.0
1788343212,4308.707,4308.757,0.0,0,1788343212101,6,0.0
1788343212,4308.833,4308.883,0.0,0,1788343212377,6,0.0
1788343213,4308.693,4308.743,0.0,0,1788343213346,6,0.0
1788343213,4308.639,4308.689,0.0,0,1788343213366,6,0.0
1788343213,4308.587,4308.637,0.0,0,1788343213679,6,0.0
1788343214,4308.531,4308.581,0.0,0,1788343214014,6,0.0
1788343214,4308.585,4308.635,0.0,0,1788343214285,6,0.0
1788343214,4308.641,4308.691,0.0,0,1788343214327,6,0.0
1788343214,4308.777,4308.827,0.0,0,1788343214353,6,0.0
1788343214,4308.874,4308.924,0.0,0,1788343214368,6,0.0
1788343214,4308.818,4308.868,0.0,0,1788343214428,6,0.0
1788343214,4308.752,4308.802,0.0,0,1788343214468,6,0.0
1788343215,4308.816,4308.866,0.0,0,1788343215245,6,0.0
1788343215,4308.871,4308.921,0.0,0,1788343215489,6,0.0
1788343216,4308.86,4308.91,0.0,0,1788343216527,6,0.0
1788343216,4308.806,4308.856,0.0,0,1788343216920,6,0.0
1788343216,4308.675,4308.725,0.0,0,1788343216931,6,0.0
1788343216,4308.617,4308.667,0.0,0,1788343216946,6,0.0
1788343216,4308.564,4308.614,0.0,0,1788343216959,6,0.0
1788343217,4308.616,4308.666,0.0,0,1788343217042,6,0.0
1788343217,4308.707,4308.757,0.0,0,1788343217255,6,0.0
1788343217,4308.826,4308.876,0.0,0,1788343217955,6,0.0
1788343218,4308.77,4308.82,0.0,0,1788343218178,6,0.0
1788343219,4308.784,4308.834,0.0,0,1788343219178,6,0.0
1788343219,4308.843,4308.893,0.0,0,1788343219630,6,0.0
1788343219,4308.899,4308.949,0.0,0,1788343219649,6,0.0
1788343219,4308.843,4308.893,0.0,0,1788343219954,6,0.0
1788343220,4308.775,4308.825,0.0,0,1788343220414,6,0.0
1788343221,4308.668,4308.718,0.0,0,1788343221282,6,0.0
1788343221,4308.592,4308.642,0.0,0,1788343221295,6,0.0
1788343221,4308.656,4308.706,0.0,0,1788343221733,6,0.0
1788343222,4308.79,4308.84,0.0,0,1788343222576,6,0.0
1788343222,4308.842,4308.892,0.0,0,1788343222596,6,0.0
1788343222,4308.899,4308.949,0.0,0,1788343222692,6,0.0
1788343223,4308.837,4308.887,0.0,0,1788343223610,6,0.0
1788343224,4308.691,4308.741,0.0,0,1788343224062,6,0.0
1788343224,4308.56,4308.61,0.0,0,1788343224652,6,0.0
1788343225,4308.895,4308.945,0.0,0,1788343225429,6,0.0
1788343225,4308.833,4308.883,0.0,0,1788343225961,6,0.0
1788343227,4308.595,4308.635,0.0,0,1788343227093,6,0.0
1788343228,4308.574,4308.614,0.0,0,1788343228111,6,0.0
1788343228,4308.627,4308.667,0.0,0,1788343228164,6,0.0
1788343228,4308.824,4308.864,0.0,0,1788343228614,6,0.0
1788343229,4308.697,4308.737,0.0,0,1788343229068,6,0.0
1788343229,4308.772,4308.812,0.0,0,1788343229239,6,0.0
1788343229,4308.863,4308.903,0.0,0,1788343229249,6,0.0
1788343230,4308.663,4308.703,0.0,0,1788343230112,6,0.0
1788343231,4308.931,4308.971,0.0,0,1788343231723,6,0.0
1788343232,4308.948,4308.988,0.0,0,1788343232725,6,0.0
1788343232,4309.006,4309.046,0.0,0,1788343232747,6,0.0
1788343233,4308.955,4308.995,0.0,0,1788343233182,6,0.0
1788343233,4308.903,4308.943,0.0,0,1788343233202,6,0.0
1788343234,4308.629,4308.669,0.0,0,1788343234555,6,0.0
1788343235,4308.766,4308.806,0.0,0,1788343235110,6,0.0
1788343235,4308.879,4308.919,0.0,0,1788343235163,6,0.0
1788343235,4308.764,4308.804,0.0,0,1788343235231,6,0.0
1788343235,4308.712,4308.752,0.0,0,1788343235257,6,0.0
1788343235,4308.622,4308.662,0.0,0,1788343235352,6,0.0
1788343235,4308.678,4308.728,0.0,0,1788343235372,6,0.0
1788343235,4308.668,4308.708,0.0,0,1788343235928,6,0.0
1788343235,4308.721,4308.761,0.0,0,1788343235990,6,0.0
1788343236,4308.834,4308.874,0.0,0,1788343236165,6,0.0
1788343236,4308.89,4308.93,0.0,0,1788343236254,6,0.0
