time,bid,ask,last,volume,time_msc,flags,volume_real
1788322500,4304.18,4304.23,0.0,0,1788322500300,134,0.0
1788322501,4304.166,4304.216,0.0,0,1788322501904,134,0.0
1788322502,4304.482,4304.532,0.0,0,1788322502047,134,0.0
1788322503,4304.46,4304.51,0.0,0,1788322503324,134,0.0
1788322503,4304.577,4304.627,0.0,0,1788322503343,134,0.0
1788322503,4304.634,4304.684,0.0,0,1788322503468,134,0.0
1788322503,4304.693,4304.743,0.0,0,1788322503476,134,0.0
1788322503,4304.641,4304.691,0.0,0,1788322503590,134,0.0
1788322503,4304.581,4304.631,0.0,0,1788322503719,134,0.0
1788322505,4304.235,4304.285,0.0,0,1788322505301,134,0.0
1788322505,4304.354,4304.404,0.0,0,1788322505367,134,0.0
1788322506,4304.501,4304.551,0.0,0,1788322506430,134,0.0
1788322507,4304.525,4304.575,0.0,0,1788322507010,134,0.0
1788322507,4304.58,4304.63,0.0,0,1788322507013,134,0.0
1788322507,4304.406,4304.456,0.0,0,1788322507052,134,0.0
1788322507,4304.275,4304.325,0.0,0,1788322507076,134,0.0
1788322507,4304.221,4304.271,0.0,0,1788322507101,134,0.0
1788322507,4304.273,4304.323,0.0,0,1788322507159,134,0.0
1788322507,4304.212,4304.262,0.0,0,1788322507838,134,0.0
1788322509,4304.169,4304.219,0.0,0,1788322509903,134,0.0
1788322509,4304.116,4304.166,0.0,0,1788322509911,134,0.0
1788322509,4304.064,4304.114,0.0,0,1788322509929,134,0.0
1788322510,4304.08,4304.13,0.0,0,1788322510946,134,0.0
1788322511,4304.016,4304.066,0.0,0,1788322511184,134,0.0
1788322511,4303.963,4304.013,0.0,0,1788322511196,134,0.0
1788322512,4303.971,4304.021,0.0,0,1788322512373,134,0.0
1788322512,4303.919,4303.969,0.0,0,1788322512408,134,0.0
1788322512,4303.859,4303.909,0.0,0,1788322512465,134,0.0
1788322513,4303.895,4303.945,0.0,0,1788322513971,134,0.0
1788322513,4303.957,4304.007,0.0,0,1788322513991,134,0.0
1788322514,4303.882,4303.932,0.0,0,1788322514927,134,0.0
1788322515,4303.83,4303.88,0.0,0,1788322515795,134,0.0
1788322515,4303.769,4303.819,0.0,0,1788322515821,134,0.0
1788322516,4303.824,4303.874,0.0,0,1788322516048,134,0.0
1788322516,4303.89,4303.94,0.0,0,1788322516051,134,0.0
1788322516,4304.038,4304.088,0.0,0,1788322516060,134,0.0
1788322516,4304.098,4304.148,0.0,0,1788322516073,134,0.0
1788322516,4304.204,4304.254,0.0,0,1788322516094,134,0.0
1788322517,4304.229,4304.279,0.0,0,1788322517123,134,0.0
1788322517,4304.285,4304.335,0.0,0,1788322517156,134,0.0
1788322517,4304.341,4304.391,0.0,0,1788322517162,134,0.0
1788322517,4304.401,4304.451,0.0,0,1788322517780,134,0.0
1788322517,4304.455,4304.505,0.0,0,1788322517782,134,0.0
1788322517,4304.508,4304.558,0.0,0,1788322517784,134,0.0
1788322517,4304.597,4304.647,0.0,0,1788322517789,134,0.0
1788322517,4304.535,4304.585,0.0,0,1788322517893,134,0.0
1788322518,4304.533,4304.583,0.0,0,1788322518906,134,0.0
1788322518,4304.589,4304.639,0.0,0,1788322518918,134,0.0
1788322518,4304.644,4304.694,0.0,0,1788322518924,134,0.0
1788322518,4304.725,4304.775,0.0,0,1788322518948,134,0.0
1788322519,4304.778,4304.828,0.0,0,1788322519561,134,0.0
1788322520,4304.726,4304.776,0.0,0,1788322520340,134,0.0
1788322520,4304.66,4304.71,0.0,0,1788322520670,134,0.0
1788322521,4304.718,4304.768,0.0,0,1788322521563,134,0.0
1788322521,4304.777,4304.827,0.0,0,1788322521585,134,0.0
1788322521,4304.724,4304.774,0.0,0,1788322521711,134,0.0
1788322521,4304.643,4304.693,0.0,0,1788322521834,134,0.0
1788322521,4304.588,4304.638,0.0,0,1788322521851,134,0.0
1788322522,4304.642,4304.692,0.0,0,1788322522038,134,0.0
1788322522,4304.696,4304.746,0.0,0,1788322522059,134,0.0
1788322523,4304.943,4304.993,0.0,0,1788322523114,134,0.0
1788322523,4305.038,4305.088,0.0,0,1788322523406,134,0.0
1788322523,4305.104,4305.154,0.0,0,1788322523410,134,0.0
1788322523,4305.164,4305.214,0.0,0,1788322523413,134,0.0
1788322523,4305.233,4305.283,0.0,0,1788322523424,134,0.0
1788322523,4305.286,4305.336,0.0,0,1788322523428,134,0.0
1788322523,4305.392,4305.442,0.0,0,1788322523446,134,0.0
1788322523,4305.45,4305.5,0.0,0,1788322523595,134,0.0
1788322523,4305.236,4305.286,0.0,0,1788322523605,134,0.0
1788322523,4305.455,4305.505,0.0,0,1788322523986,134,0.0
1788322523,4305.402,4305.452,0.0,0,1788322523993,134,0.0
1788322524,4305.075,4305.125,0.0,0,1788322524297,134,0.0
1788322524,4305.022,4305.072,0.0,0,1788322524328,134,0.0
1788322524,4305.395,4305.445,0.0,0,1788322524368,134,0.0
1788322524,4305.331,4305.381,0.0,0,1788322524429,134,0.0
1788322525,4305.118,4305.168,0.0,0,1788322525198,134,0.0
1788322525,4305.173,4305.223,0.0,0,1788322525208,134,0.0
1788322525,4305.234,4305.284,0.0,0,1788322525364,134,0.0
1788322525,4305.397,4305.447,0.0,0,1788322525709,134,0.0
1788322525,4305.103,4305.153,0.0,0,1788322525979,134,0.0
1788322526,4305.05,4305.1,0.0,0,1788322526039,134,0.0
1788322526,4305.115,4305.165,0.0,0,1788322526181,134,0.0
1788322526,4305.056,4305.106,0.0,0,1788322526657,134,0.0
1788322527,4304.967,4305.017,0.0,0,1788322527725,134,0.0
1788322527,4305.109,4305.159,0.0,0,1788322527744,134,0.0
1788322527,4305.179,4305.229,0.0,0,1788322527857,134,0.0
1788322528,4305.137,4305.187,0.0,0,1788322528137,134,0.0
1788322528,4305.079,4305.129,0.0,0,1788322528143,134,0.0
1788322528,4305.021,4305.071,0.0,0,1788322528145,134,0.0
1788322528,4304.924,4304.974,0.0,0,1788322528165,134,0.0
1788322528,4304.866,4304.916,0.0,0,1788322528297,134,0.0
1788322528,4304.92,4304.97,0.0,0,1788322528306,134,0.0
1788322528,4304.815,4304.865,0.0,0,1788322528359,134,0.0
1788322528,4304.933,4304.983,0.0,0,1788322528567,134,0.0
1788322528,4305.001,4305.051,0.0,0,1788322528587,134,0.0
1788322528,4304.867,4304.917,0.0,0,1788322528688,134,0.0
1788322529,4305.27,4305.32,0.0,0,1788322529103,134,0.0
1788322529,4305.043,4305.093,0.0,0,1788322529510,134,0.0
1788322530,4305.017,4305.067,0.0,0,1788322530049,134,0.0
1788322531,4304.99,4305.04,0.0,0,1788322531240,134,0.0
1788322531,4305.047,4305.097,0.0,0,1788322531350,134,0.0
1788322532,4305.292,4305.342,0.0,0,1788322532431,134,0.0
1788322533,4305.286,4305.336,0.0,0,1788322533511,134,0.0
1788322535,4305.123,4305.173,0.0,0,1788322535176,134,0.0
