time,open,high,low,close,tick_volume,spread,real_volume
2026-04-17 00:00:00+00:00,4791.528,4791.669,4785.961,4790.072,2003,57,0
2026-04-17 00:15:00+00:00,4790.05,4793.176,4787.532,4793.089,1654,57,0
2026-04-17 00:30:00+00:00,4793.149,4798.883,4792.483,4798.812,1776,57,0
2026-04-17 00:45:00+00:00,4798.753,4801.267,4793.915,4795.023,1552,57,0
2026-04-17 01:00:00+00:00,4795.085,4795.668,4769.211,4778.961,5105,57,0
2026-04-17 01:15:00+00:00,4778.899,4784.995,4767.562,4768.945,3924,57,0
2026-04-17 01:30:00+00:00,4769.008,4777.798,4767.744,4777.73,3545,57,0
2026-04-17 01:45:00+00:00,4777.714,4791.275,4775.32,4789.384,2690,57,0
2026-04-17 02:00:00+00:00,4789.38,4794.661,4788.321,4791.381,2192,57,0
2026-04-17 02:15:00+00:00,4791.603,4792.182,4788.355,4789.244,1425,57,0
2026-04-17 02:30:00+00:00,4789.309,4794.685,4788.577,4791.549,1889,57,0
2026-04-17 02:45:00+00:00,4791.806,4793.474,4784.527,4784.783,1687,57,0
2026-04-17 03:00:00+00:00,4784.839,4797.547,4784.839,4796.172,2527,57,0
2026-04-17 03:15:00+00:00,4795.926,4798.253,4793.008,4794.301,2004,57,0
2026-04-17 03:30:00+00:00,4794.123,4795.232,4792.172,4794.485,1228,57,0
2026-04-17 03:45:00+00:00,4794.415,4796.825,4792.879,4793.515,1083,57,0
2026-04-17 04:00:00+00:00,4793.425,4796.124,4792.665,4795.282,1241,57,0
2026-04-17 04:15:00+00:00,4795.305,4796.38,4793.716,4795.912,1077,57,0
2026-04-17 04:30:00+00:00,4796.107,4801.618,4795.319,4800.932,1136,57,0
2026-04-17 04:45:00+00:00,4801.08,4804.648,4798.599,4802.92,1246,57,0
2026-04-17 05:00:00+00:00,4802.932,4806.431,4800.074,4804.955,1827,57,0
2026-04-17 05:15:00+00:00,4804.896,4805.193,4801.734,4803.453,1306,57,0
2026-04-17 05:30:00+00:00,4803.584,4805.35,4795.763,4796.584,2737,57,0
2026-04-17 05:45:00+00:00,4796.609,4800.529,4793.824,4794.397,2534,57,0
2026-04-17 06:00:00+00:00,4794.469,4795.395,4786.903,4787.898,2924,57,0
2026-04-17 06:15:00+00:00,4787.914,4789.989,4783.173,4784.042,2293,57,0
2026-04-17 06:30:00+00:00,4783.996,4786.947,4779.208,4785.73,2438,57,0
2026-04-17 06:45:00+00:00,4785.676,4787.31,4783.907,4785.098,1671,57,0
2026-04-17 07:00:00+00:00,4785.239,4790.955,4784.332,4787.394,1945,57,0
2026-04-17 07:15:00+00:00,4787.458,4792.915,4784.814,4791.596,1793,57,0
2026-04-17 07:30:00+00:00,4791.6,4794.915,4782.516,4786.244,2031,57,0
2026-04-17 07:45:00+00:00,4785.904,4786.294,4778.798,4784.572,2124,57,0
2026-04-17 08:00:00+00:00,4784.557,4790.938,4780.974,4783.745,2260,57,0
2026-04-17 08:15:00+00:00,4783.596,4787.246,4782.712,4784.633,1620,57,0
2026-04-17 08:30:00+00:00,4784.546,4796.791,4784.306,4796.791,1867,57,0
2026-04-17 08:45:00+00:00,4796.698,4796.868,4790.991,4795.855,1799,57,0
2026-04-17 09:00:00+00:00,4795.797,4801.067,4792.863,4793.245,1858,57,0
2026-04-17 09:15:00+00:00,4793.303,4798.33,4792.2,4796.098,1638,57,0
2026-04-17 09:30:00+00:00,4795.793,4799.172,4794.193,4794.76,1740,57,0
2026-04-17 09:45:00+00:00,4794.525,4795.215,4790.136,4790.573,1606,57,0
2026-04-17 10:00:00+00:00,4790.631,4792.186,4787.33,4791.395,1624,57,0
2026-04-17 10:15:00+00:00,4791.518,4794.001,4788.689,4789.76,1421,57,0
2026-04-17 10:30:00+00:00,4789.769,4790.007,4782.447,4785.138,1623,57,0
2026-04-17 10:45:00+00:00,4785.158,4788.187,4782.208,4787.314,1794,57,0
2026-04-17 11:00:00+00:00,4787.375,4789.671,4783.497,4786.297,1595,57,0
2026-04-17 11:15:00+00:00,4786.341,4793.235,4784.6,4792.797,1505,57,0
2026-04-17 11:30:00+00:00,4793.008,4798.627,4789.851,4798.539,1570,57,0
2026-04-17 11:45:00+00:00,4798.596,4811.853,4798.596,4799.311,3322,57,0
2026-04-17 12:00:00+00:00,4799.377,4805.603,4797.697,4803.805,2241,57,0
2026-04-17 12:15:00+00:00,4803.808,4819.624,4803.067,4817.007,4165,57,0
2026-04-17 12:30:00+00:00,4816.851,4825.056,4815.477,4823.243,4170,57,0
2026-04-17 12:45:00+00:00,4823.308,4847.82,4821.766,4846.592,11909,57,0
2026-04-17 13:00:00+00:00,4846.427,4889.592,4834.836,4883.151,12108,97,0
2026-04-17 13:15:00+00:00,4883.251,4883.858,4850.41,4851.693,11129,71,0
2026-04-17 13:30:00+00:00,4851.757,4873.556,4848.233,4864.456,11150,97,0
2026-04-17 13:45:00+00:00,4864.703,4882.247,4851.991,4880.13,10184,57,0
2026-04-17 14:00:00+00:00,4880.19,4885.605,4860.744,4866.998,7338,57,0
2026-04-17 14:15:00+00:00,4867.138,4880.57,4865.754,4871.783,5443,57,0
2026-04-17 14:30:00+00:00,4871.725,4883.25,4869.549,4877.512,5213,57,0
2026-04-17 14:45:00+00:00,4877.57,4881.202,4869.64,4873.339,4780,57,0
2026-04-17 15:00:00+00:00,4873.406,4880.457,4862.491,4868.021,6418,57,0
