time,open,high,low,close,tick_volume,spread,real_volume
2026-04-17 00:00:00+00:00,4791.528,4801.267,4767.562,4793.515,36284,57,0
2026-04-17 04:00:00+00:00,4793.425,4806.431,4778.798,4784.572,30323,57,0
2026-04-17 08:00:00+00:00,4784.557,4811.853,4780.974,4799.311,28842,57,0
2026-04-17 12:00:00+00:00,4799.377,4889.592,4797.697,4867.624,109970,57,0
2026-04-17 16:00:00+00:00,4867.555,4873.612,4852.763,4854.607,41069,57,0
2026-04-17 20:00:00+00:00,4854.759,4855.325,4830.722,4832.819,9670,57,0
2026-04-19 20:00:00+00:00,4774.659,4795.453,4736.897,4755.225,23531,97,0
2026-04-20 00:00:00+00:00,4755.359,4814.547,4745.23,4791.089,52311,57,0
2026-04-20 04:00:00+00:00,4791.152,4805.62,4779.628,4789.902,41310,57,0
2026-04-20 08:00:00+00:00,4789.721,4810.904,4783.44,4810.406,32221,57,0
2026-04-20 12:00:00+00:00,4810.349,4827.755,4792.686,4799.71,74521,57,0
2026-04-20 16:00:00+00:00,4799.852,4821.49,4792.858,4814.29,30220,57,0
2026-04-20 20:00:00+00:00,4814.207,4833.186,4812.333,4821.727,15017,57,0
2026-04-21 00:00:00+00:00,4821.788,4830.673,4792.628,4797.318,34869,57,0
2026-04-21 04:00:00+00:00,4797.158,4797.982,4772.809,4786.267,35946,57,0
2026-04-21 08:00:00+00:00,4786.208,4798.133,4774.677,4794.815,31666,57,0
2026-04-21 12:00:00+00:00,4794.874,4797.093,4723.538,4741.637,101210,57,0
2026-04-21 16:00:00+00:00,4741.57,4746.884,4668.302,4679.522,92014,57,0
2026-04-21 20:00:00+00:00,4679.343,4740.502,4668.834,4737.982,32861,57,0
2026-04-22 00:00:00+00:00,4738.195,4765.12,4736.154,4758.36,34357,57,0
2026-04-22 04:00:00+00:00,4758.408,4772.474,4752.352,4760.752,29849,57,0
2026-04-22 08:00:00+00:00,4760.759,4762.512,4745.702,4750.555,29517,57,0
2026-04-22 12:00:00+00:00,4750.492,4760.832,4725.038,4727.848,61906,57,0
2026-04-22 16:00:00+00:00,4727.933,4749.503,4723.788,4740.201,33025,57,0
2026-04-22 20:00:00+00:00,4740.235,4746.023,4723.472,4728.057,13327,57,0
2026-04-23 00:00:00+00:00,4728.124,4753.905,4694.147,4704.003,73805,57,0
2026-04-23 04:00:00+00:00,4703.961,4721.275,4692.279,4719.049,39008,57,0
2026-04-23 08:00:00+00:00,4719.129,4724.903,4684.26,4720.598,39613,57,0
2026-04-23 12:00:00+00:00,4720.532,4743.241,4716.464,4720.551,70621,57,0
2026-04-23 16:00:00+00:00,4720.62,4737.058,4664.172,4696.19,95547,57,0
2026-04-23 20:00:00+00:00,4695.985,4700.661,4686.495,4695.342,17049,57,0
2026-04-24 00:00:00+00:00,4695.269,4711.203,4668.698,4672.275,49223,57,0
2026-04-24 04:00:00+00:00,4672.263,4695.35,4657.692,4694.506,34709,57,0
2026-04-24 08:00:00+00:00,4694.455,4717.5,4674.66,4706.868,46415,57,0
2026-04-24 12:00:00+00:00,4707.213,4740.383,4689.585,4727.164,74302,57,0
2026-04-24 16:00:00+00:00,4727.11,4730.029,4713.725,4716.664,35369,57,0
2026-04-24 20:00:00+00:00,4716.552,4717.565,4705.386,4708.529,5513,57,0
2026-04-26 20:00:00+00:00,4696.208,4699.968,4674.961,4680.173,11840,57,0
2026-04-27 00:00:00+00:00,4680.236,4729.55,4672.138,4724.365,43746,57,0
2026-04-27 04:00:00+00:00,4724.027,4730.168,4708.697,4713.524,29690,57,0
2026-04-27 08:00:00+00:00,4713.587,4714.8,4699.223,4704.753,25784,57,0
2026-04-27 12:00:00+00:00,4705.057,4712.612,4667.117,4670.249,59092,57,0
2026-04-27 16:00:00+00:00,4670.12,4686.34,4667.372,4680.852,29548,57,0
2026-04-27 20:00:00+00:00,4680.9,4695.194,4677.411,4692.153,10955,57,0
