time,open,high,low,close,tick_volume,spread,real_volume
2025-08-01 00:00:00+00:00,3288.687,3454.004,3281.67,3448.032,3620892,0,0
2025-09-01 00:00:00+00:00,3447.992,3871.778,3437.108,3863.007,5228070,0,0
2025-10-01 00:00:00+00:00,3863.02,4381.697,3819.415,4001.701,12466526,0,0
2025-11-01 00:00:00+00:00,3990.799,4245.412,3928.89,4221.931,8125557,0,0
2025-12-01 00:00:00+00:00,4223.196,4550.304,4163.646,4318.935,8973954,0,0
2026-01-01 00:00:00+00:00,4328.401,5595.401,4309.749,4891.624,13425388,0,0
2026-02-01 00:00:00+00:00,4793.701,5281.467,4402.145,5279.201,7945457,0,0
2026-03-01 00:00:00+00:00,5319.478,5419.133,4098.47,4696.539,11819501,0,0
2026-04-01 00:00:00+00:00,4696.481,4889.592,4510.165,4626.459,6507880,0,0
2026-05-01 00:00:00+00:00,4626.603,4773.703,4366.349,4539.759,5934101,57,0
2026-06-01 00:00:00+00:00,4539.82,4546.276,3942.204,4005.693,7975381,0,0
2026-07-01 00:00:00+00:00,4005.789,4203.29,3959.46,4043.917,6732596,0,0
2026-08-01 00:00:00+00:00,4073.165,4697.232,4019.065,4452.242,6487869,40,0
2026-09-01 00:00:00+00:00,4452.325,4461.724,4282.332,4437.63,731191,40,0
