time,open,high,low,close,tick_volume,spread,real_volume
2025-08-03 00:00:00+00:00,3364.419,3409.099,3345.086,3398.644,1076858,0,0
2025-08-10 00:00:00+00:00,3400.658,3401.899,3329.918,3335.293,910150,0,0
2025-08-17 00:00:00+00:00,3334.649,3378.949,3311.556,3372.379,711704,0,0
2025-08-24 00:00:00+00:00,3368.824,3454.004,3351.318,3448.115,688787,0,0
2025-08-31 00:00:00+00:00,3445.946,3600.156,3437.108,3586.677,1130459,0,0
2025-09-07 00:00:00+00:00,3591.936,3674.645,3579.657,3643.564,1074537,0,0
2025-09-14 00:00:00+00:00,3644.69,3707.527,3626.621,3684.941,1078455,0,0
2025-09-21 00:00:00+00:00,3688.049,3791.207,3683.856,3761.121,1265009,0,0
2025-09-28 00:00:00+00:00,3764.798,3897.234,3763.402,3887.125,1593290,0,0
2025-10-05 00:00:00+00:00,3888.704,4059.401,3884.114,4010.479,2198364,0,0
2025-10-12 00:00:00+00:00,4014.543,4380.129,4008.725,4251.016,3065888,0,0
2025-10-19 00:00:00+00:00,4264.709,4381.697,4004.265,4113.162,3585022,0,0
2025-10-26 00:00:00+00:00,4083.658,4109.273,3886.62,4001.701,2713361,0,0
2025-11-02 00:00:00+00:00,3990.799,4030.726,3928.89,4001.502,1758798,0,0
2025-11-09 00:00:00+00:00,4004.956,4245.412,4004.122,4084.7,2108153,0,0
2025-11-16 00:00:00+00:00,4083.835,4132.766,3998.117,4066.193,2641016,0,0
2025-11-23 00:00:00+00:00,4072.549,4226.559,4039.922,4219.259,1601907,0,0
2025-11-30 00:00:00+00:00,4219.967,4264.642,4163.646,4198.602,1970230,0,0
2025-12-07 00:00:00+00:00,4202.568,4353.65,4170.177,4301.063,2061684,0,0
2025-12-14 00:00:00+00:00,4300.605,4374.721,4271.653,4339.445,1882215,0,0
2025-12-21 00:00:00+00:00,4341.009,4550.304,4340.024,4532.658,1453837,0,0
2025-12-28 00:00:00+00:00,4546.294,4548.58,4274.459,4331.839,2013086,0,0
2026-01-04 00:00:00+00:00,4353.566,4517.26,4349.932,4509.155,2078624,0,0
2026-01-11 00:00:00+00:00,4517.998,4643.269,4517.998,4596.668,2261743,0,0
2026-01-18 00:00:00+00:00,4655.438,4989.884,4653.218,4988.417,2391980,0,0
2026-01-25 00:00:00+00:00,5019.927,5595.401,4682.896,4891.624,6301626,0,0
2026-02-01 00:00:00+00:00,4793.701,5091.986,4402.145,4968.37,4089363,0,0
2026-02-08 00:00:00+00:00,4967.824,5119.31,4878.543,5042.745,1588702,0,0
2026-02-15 00:00:00+00:00,5026.832,5108.29,4841.356,5105.95,1096312,0,0
2026-02-22 00:00:00+00:00,5111.816,5281.467,5093.525,5279.201,1171080,37,0
2026-03-01 00:00:00+00:00,5319.478,5419.133,4995.91,5174.246,2123529,37,0
2026-03-08 00:00:00+00:00,5178.973,5238.657,5009.739,5021.075,1271585,37,0
2026-03-15 00:00:00+00:00,5017.318,5044.614,4477.175,4497.598,2080628,0,0
2026-03-22 00:00:00+00:00,4477.93,4602.625,4098.47,4495.517,5385940,47,0
2026-03-29 00:00:00+00:00,4511.91,4800.428,4418.646,4675.388,1938869,57,0
2026-04-05 00:00:00+00:00,4662.965,4857.582,4600.753,4749.539,1783287,0,0
2026-04-12 00:00:00+00:00,4670.393,4889.592,4644.313,4832.819,1273266,57,0
2026-04-19 00:00:00+00:00,4774.659,4833.186,4657.692,4708.529,1380852,57,0
2026-04-26 00:00:00+00:00,4696.208,4730.168,4510.165,4613.705,1308689,57,0
2026-05-03 00:00:00+00:00,4626.147,4764.847,4500.741,4715.22,1340956,60,0
2026-05-10 00:00:00+00:00,4692.018,4773.703,4511.34,4539.713,1399940,60,0
2026-05-17 00:00:00+00:00,4538.508,4589.425,4453.516,4508.069,1695470,60,0
2026-05-24 00:00:00+00:00,4545.554,4595.306,4366.349,4540.48,1265192,60,0
2026-05-31 00:00:00+00:00,4521.379,4546.276,4311.76,4328.884,1335703,50,0
2026-06-07 00:00:00+00:00,4325.235,4363.584,4023.878,4218.775,2323302,50,0
2026-06-14 00:00:00+00:00,4270.511,4382.551,4121.718,4155.531,1430880,50,0
2026-06-21 00:00:00+00:00,4153.548,4221.155,3958.916,4088.35,2232083,0,0
2026-06-28 00:00:00+00:00,4076.006,4195.606,3942.204,4175.013,1531804,0,0
2026-07-05 00:00:00+00:00,4178.022,4203.29,4021.695,4119.859,1488277,40,0
2026-07-12 00:00:00+00:00,4098.686,4103.355,3959.46,4017.852,1577192,0,0
2026-07-19 00:00:00+00:00,4000.257,4166.192,3982.726,4053.032,1280670,40,0
2026-07-26 00:00:00+00:00,4091.931,4120.512,3995.884,4043.917,1521345,40,0
2026-08-02 00:00:00+00:00,4073.165,4371.975,4019.065,4342.307,1457813,40,0
2026-08-09 00:00:00+00:00,4347.907,4449.943,4310.917,4375.988,1340768,40,0
2026-08-16 00:00:00+00:00,4379.527,4632.235,4324.582,4603.934,1407824,40,0
2026-08-23 00:00:00+00:00,4615.78,4697.232,4445.393,4456.185,1959658,50,0
2026-08-30 00:00:00+00:00,4439.165,4472.528,4282.332,4437.63,1052997,40,0
