time,open,high,low,close,tick_volume,spread,real_volume
2026-07-23 00:00:00+00:00,4133.419,4134.587,4128.442,4130.73,1816,40,0
2026-07-23 00:05:00+00:00,4130.71,4131.234,4127.487,4128.956,887,40,0
2026-07-23 00:10:00+00:00,4129.104,4129.136,4126.359,4126.857,738,40,0
2026-07-23 00:15:00+00:00,4126.731,4129.457,4126.678,4128.5,809,40,0
2026-07-23 00:20:00+00:00,4128.306,4133.015,4127.548,4132.762,936,40,0
2026-07-23 00:25:00+00:00,4132.85,4134.839,4128.959,4129.43,887,40,0
2026-07-23 00:30:00+00:00,4129.378,4131.723,4128.201,4130.35,787,40,0
2026-07-23 00:35:00+00:00,4130.277,4132.437,4127.911,4128.572,789,40,0
2026-07-23 00:40:00+00:00,4128.427,4129.337,4127.293,4127.955,737,40,0
2026-07-23 00:45:00+00:00,4127.904,4130.178,4126.905,4127.36,741,40,0
2026-07-23 00:50:00+00:00,4127.157,4129.562,4125.124,4129.183,725,40,0
2026-07-23 00:55:00+00:00,4128.88,4133.58,4127.624,4132.379,798,40,0
2026-07-23 01:00:00+00:00,4132.318,4139.189,4129.718,4133.153,3402,40,0
2026-07-23 01:05:00+00:00,4133.103,4134.954,4130.689,4133.728,1642,40,0
2026-07-23 01:10:00+00:00,4133.685,4137.244,4131.979,4134.821,1768,40,0
2026-07-23 01:15:00+00:00,4134.764,4137.792,4133.65,4136.078,1229,40,0
2026-07-23 01:20:00+00:00,4136.052,4140.272,4134.775,4137.883,1316,40,0
2026-07-23 01:25:00+00:00,4137.738,4141.209,4136.743,4137.602,1150,40,0
2026-07-23 01:30:00+00:00,4137.731,4139.548,4128.844,4133.238,2279,40,0
2026-07-23 01:35:00+00:00,4133.312,4133.98,4122.866,4122.959,2039,40,0
2026-07-23 01:40:00+00:00,4123.078,4127.674,4121.489,4121.58,1547,40,0
2026-07-23 01:45:00+00:00,4121.515,4123.848,4117.792,4121.593,1617,40,0
2026-07-23 01:50:00+00:00,4121.481,4122.693,4118.114,4118.956,1404,40,0
2026-07-23 01:55:00+00:00,4118.836,4119.34,4114.393,4118.027,1702,40,0
2026-07-23 02:00:00+00:00,4117.971,4119.044,4112.961,4114.069,1572,40,0
2026-07-23 02:05:00+00:00,4114.027,4116.961,4112.289,4114.392,1352,40,0
2026-07-23 02:10:00+00:00,4114.292,4118.546,4114.292,4117.743,1039,40,0
2026-07-23 02:15:00+00:00,4117.983,4118.384,4113.249,4115.108,1144,40,0
2026-07-23 02:20:00+00:00,4115.042,4117.266,4113.79,4116.306,947,40,0
2026-07-23 02:25:00+00:00,4116.245,4117.192,4114.279,4116.553,989,40,0
2026-07-23 02:30:00+00:00,4116.5,4119.416,4113.904,4116.527,1522,40,0
2026-07-23 02:35:00+00:00,4116.726,4119.081,4115.002,4118.669,1165,40,0
2026-07-23 02:40:00+00:00,4118.781,4122.291,4117.88,4122.209,975,40,0
2026-07-23 02:45:00+00:00,4122.158,4125.59,4122.103,4122.734,1204,40,0
2026-07-23 02:50:00+00:00,4122.82,4128.972,4121.357,4125.566,1156,40,0
2026-07-23 02:55:00+00:00,4125.624,4128.467,4125.141,4128.08,734,40,0
2026-07-23 03:00:00+00:00,4128.028,4129.341,4125.993,4126.177,899,40,0
2026-07-23 03:05:00+00:00,4126.119,4127.694,4124.564,4125.122,909,40,0
2026-07-23 03:10:00+00:00,4125.25,4127.455,4124.018,4127.455,836,40,0
