time,open,high,low,close,tick_volume,spread,real_volume
2026-08-02 20:00:00+00:00,4073.165,4079.518,4063.169,4074.878,13966,40,0
2026-08-03 00:00:00+00:00,4074.939,4079.14,4047.383,4064.984,60378,40,0
2026-08-03 04:00:00+00:00,4065.062,4072.317,4052.154,4060.935,41973,40,0
2026-08-03 08:00:00+00:00,4061.251,4063.158,4045.36,4062.643,37939,40,0
2026-08-03 12:00:00+00:00,4062.512,4064.749,4019.065,4036.204,64878,40,0
2026-08-03 16:00:00+00:00,4036.009,4055.936,4029.575,4052.22,26704,40,0
2026-08-03 20:00:00+00:00,4052.282,4058.288,4049.391,4053.862,11904,40,0
2026-08-04 00:00:00+00:00,4053.803,4069.507,4042.503,4052.672,42071,40,0
2026-08-04 04:00:00+00:00,4052.699,4067.939,4051.102,4065.43,30728,40,0
2026-08-04 08:00:00+00:00,4065.477,4084.43,4045.536,4075.01,45191,40,0
2026-08-04 12:00:00+00:00,4075.078,4093.87,4060.934,4087.523,79769,40,0
2026-08-04 16:00:00+00:00,4087.592,4106.422,4075.146,4078.809,35128,40,0
2026-08-04 20:00:00+00:00,4078.697,4085.879,4065.432,4072.473,15871,40,0
2026-08-05 00:00:00+00:00,4072.456,4136.633,4070.401,4128.483,52354,40,0
2026-08-05 04:00:00+00:00,4128.49,4179.726,4128.38,4170.726,56587,40,0
2026-08-05 08:00:00+00:00,4170.674,4192.779,4150.349,4189.055,47599,40,0
2026-08-05 12:00:00+00:00,4189.112,4265.302,4183.298,4233.028,99508,40,0
2026-08-05 16:00:00+00:00,4233.079,4267.963,4224.731,4247.059,43910,40,0
2026-08-05 20:00:00+00:00,4246.892,4282.091,4242.993,4278.155,15625,40,0
2026-08-06 00:00:00+00:00,4278.211,4304.309,4260.179,4265.702,76491,40,0
2026-08-06 04:00:00+00:00,4265.592,4268.799,4247.069,4262.669,37773,40,0
2026-08-06 08:00:00+00:00,4262.722,4284.86,4254.047,4263.237,36630,40,0
2026-08-06 12:00:00+00:00,4263.179,4275.464,4229.034,4233.928,85721,40,0
2026-08-06 16:00:00+00:00,4233.986,4251.449,4223.247,4248.895,48088,40,0
2026-08-06 20:00:00+00:00,4249.015,4253.343,4234.678,4252.24,14178,40,0
2026-08-07 00:00:00+00:00,4252.494,4266.549,4229.701,4266.088,54876,40,0
2026-08-07 04:00:00+00:00,4266.024,4298.922,4260.897,4290.092,52054,40,0
2026-08-07 08:00:00+00:00,4290.147,4327.953,4289.026,4321.407,48270,40,0
2026-08-07 12:00:00+00:00,4321.396,4371.975,4301.002,4341.13,126050,40,0
2026-08-07 16:00:00+00:00,4341.267,4350.422,4327.819,4344.192,49374,40,0
2026-08-07 20:00:00+00:00,4344.128,4345.428,4335.98,4342.307,6225,50,0
2026-08-09 20:00:00+00:00,4347.907,4349.258,4331.996,4332.7,12449,40,0
2026-08-10 00:00:00+00:00,4332.637,4347.212,4313.221,4326.507,64710,40,0
2026-08-10 04:00:00+00:00,4326.808,4362.269,4322.914,4355.656,43785,40,0
2026-08-10 08:00:00+00:00,4355.601,4356.775,4328.859,4335.01,33796,40,0
2026-08-10 12:00:00+00:00,4334.952,4359.756,4316.638,4358.351,65298,40,0
2026-08-10 16:00:00+00:00,4358.41,4395.422,4349.142,4388.503,42141,40,0
2026-08-10 20:00:00+00:00,4388.464,4402.726,4385.681,4402.369,13187,40,0
2026-08-11 00:00:00+00:00,4402.317,4435.369,4393.637,4417.046,60056,50,0
2026-08-11 04:00:00+00:00,4417.116,4420.347,4356.727,4357.952,62299,50,0
2026-08-11 08:00:00+00:00,4357.886,4393.136,4356.964,4387.912,41083,50,0
2026-08-11 12:00:00+00:00,4387.66,4404.287,4369.118,4383.749,69386,50,0
2026-08-11 16:00:00+00:00,4383.867,4385.906,4360.082,4370.81,34663,40,0
2026-08-11 20:00:00+00:00,4370.865,4378.391,4362.545,4371.473,14394,40,0
2026-08-12 00:00:00+00:00,4371.564,4416.44,4366.663,4402.248,41355,40,0
2026-08-12 04:00:00+00:00,4402.521,4410.238,4383.916,4406.267,33426,50,0
2026-08-12 08:00:00+00:00,4406.143,4424.312,4401.649,4412.777,32943,50,0
2026-08-12 12:00:00+00:00,4412.653,4441.47,4382.022,4420.953,105770,50,0
2026-08-12 16:00:00+00:00,4421.006,4426.689,4396.226,4413.759,40538,50,0
2026-08-12 20:00:00+00:00,4413.825,4414.478,4398.281,4414.367,11607,40,0
2026-08-13 00:00:00+00:00,4414.432,4449.943,4398.659,4400.347,65023,50,0
2026-08-13 04:00:00+00:00,4400.355,4407.459,4368.938,4370.119,51392,50,0
2026-08-13 08:00:00+00:00,4370.062,4396.788,4364.072,4387.614,32090,50,0
